"algorithm"	"conv_threshold"	"conv_threshold_sensitivity"	"conv_threshold_specificity"	"conv_threshold_J"	"new_threshold"	"new_threshold_sensitivity"	"new_threshold_specificity"	"new_threshold_J"
"M-CAP"	">=0.025"	"1"	"0.875"	"0.875"	">(0.0387798585858586)"	"1"	"0.96875"	"0.96875"
"MVP"	">0.75"	"0.888888888888889"	"0.972972972972973"	"0.861861861861862"	">(0.698424242424243)"	"1"	"0.972972972972973"	"0.972972972972973"
"Eigen-PC"	">=0"	"1"	"0.872340425531915"	"0.872340425531915"	">(0.368090909090909)"	"0.944444444444444"	"0.957446808510638"	"0.901891252955083"
"REVEL"	">0.5"	"0.833333333333333"	"0.934782608695652"	"0.768115942028986"	">(0.369191919191919)"	"1"	"0.891304347826087"	"0.891304347826087"
"VEST"	">0.5"	"1"	"0.851063829787234"	"0.851063829787234"	">(0.606515151515152)"	"1"	"0.893617021276596"	"0.893617021276596"
"MetaSVM"	">=0"	"0.833333333333333"	"0.956521739130435"	"0.789855072463768"	">(-0.784363636363636)"	"1"	"0.826086956521739"	"0.826086956521739"
"CADD"	">15"	"1"	"0.702127659574468"	"0.702127659574468"	">(24.6669191919192)"	"0.944444444444444"	"0.936170212765957"	"0.880614657210402"
"AlphaMissense"	">=0.564"	"0.833333333333333"	"0.966666666666667"	"0.8"	">(0.469474747474747)"	"0.944444444444444"	"0.933333333333333"	"0.877777777777778"
"MetaLR"	">=0.5"	"0.777777777777778"	"0.91304347826087"	"0.690821256038647"	">(0.28179797979798)"	"1"	"0.869565217391304"	"0.869565217391304"
"FATHMM-MKL"	">0.5"	"1"	"0.787234042553192"	"0.787234042553191"	">(0.846939393939394)"	"1"	"0.851063829787234"	"0.851063829787234"
"ADME"	">0.5"	"1"	"0.829787234042553"	"0.829787234042553"	">(0.606060606060606)"	"1"	"0.851063829787234"	"0.851063829787234"
"ClinPred"	">=0.5"	"0.944444444444444"	"0.891304347826087"	"0.835748792270531"	">(0.434909090909091)"	"1"	"0.891304347826087"	"0.891304347826087"
"MutPred"	">0.5"	"1"	"0.409090909090909"	"0.409090909090909"	">(0.780818181818182)"	"0.785714285714286"	"0.954545454545455"	"0.74025974025974"
"PolyPhen-2 HDIV"	">0.452"	"1"	"0.80952380952381"	"0.80952380952381"	">(0.858585858585859)"	"1"	"0.880952380952381"	"0.880952380952381"
"DANN"	">0.96"	"1"	"0.723404255319149"	"0.723404255319149"	">(0.962070707070707)"	"1"	"0.74468085106383"	"0.74468085106383"
"PrimateAI"	">=0.803"	"0.0769230769230769"	"0.966666666666667"	"0.0435897435897437"	">(0.548878787878788)"	"0.923076923076923"	"0.933333333333333"	"0.856410256410256"
"PolyPhen-2 HVAR"	">0.446"	"0.944444444444444"	"0.80952380952381"	"0.753968253968254"	">(0.343434343434343)"	"1"	"0.80952380952381"	"0.80952380952381"
"FATHMM"	"<= -1.5"	"0.111111111111111"	"0.978260869565217"	"0.0893719806763285"	"<(-0.0804040404040403)"	"0.722222222222222"	"0.891304347826087"	"0.613526570048309"
"SIFT"	"<=0.05"	"0.888888888888889"	"0.760869565217391"	"0.64975845410628"	"<(0.0707070707070707)"	"1"	"0.717391304347826"	"0.717391304347826"
"PROVEAN"	"< -2.282"	"1"	"0.804347826086957"	"0.804347826086957"	"<(-2.64747474747475)"	"1"	"0.804347826086957"	"0.804347826086957"
"MutationAssessor"	">1.9"	"1"	"0.75"	"0.75"	">(2.80939393939394)"	"0.944444444444444"	"0.863636363636364"	"0.808080808080808"
"LRT"	"<0.001"	"1"	"0.7"	"0.7"	"<(0.001)"	"1"	"0.7"	"0.7"
